2023-05-07 21:13:42,464 | DEBUG:Iniciando executor de hilos | MainThread | <module> | 105|
2023-05-07 21:13:42,469 | DEBUG:Ejecutando hilo 2 | MainThread | <module> | 108|
2023-05-07 21:13:42,471 | DEBUG:Ejecutando hilo 1 | MainThread | <module> | 111|
2023-05-07 21:13:42,471 | DEBUG:Iniciando servidor | ThreadPoolExecutor-0_1 | serverLocal | 32|
2023-05-07 21:13:42,473 | DEBUG:Servidor iniciado | ThreadPoolExecutor-0_1 | serverLocal | 34|
2023-05-07 21:13:44,497 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:13:51,769 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:13:58,837 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:06,004 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:13,163 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:20,239 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:27,308 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:34,480 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:41,642 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:48,696 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:14:55,850 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:03,052 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:10,310 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:17,362 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:24,553 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:31,810 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:38,983 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:46,040 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:15:53,212 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:16:08,480 | DEBUG:ESTAS EN GSC EN LA FUNCION SOLICITUD ... | ThreadPoolExecutor-0_1 | solicitud | 45|
2023-05-07 21:16:08,480 | DEBUG:PROBANDO SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:16:08,480 | DEBUG:EL SERVIDOR http://192.168.1.183:3313/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 50|
2023-05-07 21:16:08,480 | DEBUG:ENVIANDO SOLICITUD AL SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 52|
2023-05-07 21:16:08,480 | DEBUG:CONECTADO AL SERVIDOR: http://192.168.1.183:3313/RPC2 Y ENVIANDO EL TEXTO... | ThreadPoolExecutor-0_1 | solicitud | 54|
